Distance;Altitude;Easting;Northing;Longitude;Latitude
6835.7;2756.4;2784242.2;1173134.6;9.847264;46.683981
6872.9;2782.6;2784221.3;1173165.4;9.847003;46.684264
6908.7;2809.5;2784197.4;1173192;9.846702;46.68451
6940.3;2830.3;2784171.1;1173209.5;9.846365;46.684674
6952.5;2837.5;2784164;1173219.4;9.846276;46.684765
6968.6;2827.9;2784157.8;1173234.3;9.846201;46.684901
7024.7;2818.8;2784162;1173290.2;9.846279;46.685402
7070.1;2812.2;2784163.2;1173335.6;9.846313;46.68581
7096.8;2819.6;2784163.2;1173362.3;9.846323;46.68605
7123.2;2818.9;2784171.4;1173387.4;9.846441;46.686274
7148.4;2830.8;2784185.5;1173408.3;9.846633;46.686458
7184.9;2844;2784213;1173432.3;9.847002;46.686666
7210.7;2855.7;2784234.1;1173447.1;9.847284;46.686793
7245.1;2873;2784256;1173473.7;9.847581;46.687026
7264.1;2883.4;2784263.2;1173491.2;9.847682;46.687182
7288.6;2895.6;2784264.3;1173515.7;9.847706;46.687402
7314.7;2909;2784261.5;1173541.7;9.84768;46.687636
7331.5;2922.1;2784264.2;1173558.3;9.847722;46.687785
7349.2;2935.5;2784277.3;1173570.2;9.847898;46.687888
7384.1;2956.4;2784310.5;1173580.9;9.848336;46.687975
7446.1;2992.9;2784371.3;1173592.7;9.849135;46.688064
7462.2;3005.5;2784386.9;1173597;9.84934;46.688099
7472.8;3013.5;2784396.2;1173601.9;9.849464;46.68814
7483.8;3014.8;2784403.9;1173609.8;9.849568;46.688209
7523.1;3015.7;2784425.5;1173642.6;9.849863;46.688498
7585.3;3009.3;2784463.8;1173691.6;9.850383;46.688928
7610.4;3017.1;2784481.8;1173709.2;9.850625;46.689081
7636.2;3035.9;2784505.4;1173719.5;9.850938;46.689167
7652.1;3047.8;2784518;1173729.3;9.851106;46.689252
7671.8;3059.3;2784529.55;1173745.2;9.851264;46.689392
7691.4;3063.3;2784541.1;1173761.1;9.851421;46.689531
