Distance;Altitude;Easting;Northing;Longitude;Latitude
3537.5;1763.5;2783994.1;1207736.5;9.85797;46.995158
3547.2;1763.6;2783991.2;1207745.8;9.857935;46.995242
3562.9;1763.7;2783992.5;1207761.4;9.857959;46.995382
3580.5;1763.9;2783992.8;1207779;9.85797;46.99554
3606.8;1765.5;2783992.7;1207805.3;9.857979;46.995777
3620.9;1767.9;2783998.8;1207818;9.858064;46.995889
3644.8;1770.7;2784008.1;1207840;9.858196;46.996085
3658.9;1771.3;2784011.7;1207853.7;9.858248;46.996207
3686.1;1774.7;2784008.7;1207880.7;9.85822;46.99645
3714.8;1779;2784004.1;1207909;9.858171;46.996706
3726.7;1780.2;2784003.9;1207920.9;9.858173;46.996813
3743.4;1781.6;2784008.9;1207936.9;9.858245;46.996956
3767.2;1781.3;2784007;1207960.6;9.85823;46.997169
3798.1;1779.8;2783999.8;1207990.6;9.858148;46.997441
3811.9;1778.5;2784002;1208004.3;9.858182;46.997563
3830.8;1777.1;2784010;1208021.4;9.858294;46.997715
3843.2;1776.3;2784011.3;1208033.7;9.858316;46.997825
3854;1776.4;2784008.1;1208044;9.858278;46.997919
3876.3;1775.6;2783996.5;1208063.1;9.858134;46.998094
3881.7;1775.7;2783994.1;1208067.9;9.858104;46.998137
3894.2;1777.2;2783997.1;1208080.1;9.858148;46.998246
3916.9;1781.6;2783998.8;1208102.7;9.85818;46.998449
3938.7;1785.5;2783992;1208123.4;9.858099;46.998637
3964.3;1789.2;2783978.9;1208145.4;9.857936;46.998838
3996.6;1795.2;2783966.9;1208175.4;9.85779;46.999111
4011.9;1797;2783961.1;1208189.5;9.85772;46.99924
4064.9;1802.2;2783954.3;1208242.1;9.857652;46.999715
4075.3;1802.4;2783948.9;1208251;9.857584;46.999796
4088.2;1803;2783937.1;1208256.3;9.857431;46.999847
4110.9;1804.5;2783915.6;1208263.3;9.857152;46.999916
4122.9;1805.2;2783904.5;1208268.1;9.857008;46.999962
4141.6;1809;2783889.6;1208279.4;9.856816;47.000068
4168.5;1816.6;2783872.8;1208300.4;9.856604;47.000261
4206.5;1828.6;2783850.4;1208331;9.856322;47.000543
4238.1;1836.4;2783828.1;1208353.4;9.856038;47.00075
4252.5;1840.6;2783817.7;1208363.4;9.855906;47.000843
4265.7;1843.3;2783808.1;1208372.5;9.855783;47.000928
4279.9;1843.6;2783796;1208379.9;9.855627;47.000997
4284.7;1844.7;2783795.3;1208384.6;9.85562;47.00104
4293.8;1847.4;2783801.5;1208391.3;9.855704;47.001098
4305.7;1850.6;2783811.9;1208397.1;9.855843;47.001148
4312.9;1853.1;2783815.3;1208403.4;9.85589;47.001203
4317.3;1853.7;2783814.5;1208407.8;9.855882;47.001243
4324.4;1855;2783809.7;1208413;9.855821;47.001291
4332.8;1858;2783802.6;1208417.4;9.855729;47.001333
4345.3;1861.1;2783790.1;1208418.5;9.855565;47.001346
4355.9;1866;2783779.7;1208420.6;9.855429;47.001368
4379.1;1876.3;2783760;1208432.8;9.855175;47.001483
4406.3;1887.6;2783742.3;1208453.5;9.854951;47.001674
4430.6;1895;2783737;1208477.2;9.854891;47.001889
4448.1;1900.5;2783733.2;1208494.3;9.854848;47.002043
4467.2;1905.2;2783726.2;1208512;9.854763;47.002205
4507.8;1915.6;2783699.2;1208542.4;9.854421;47.002485
4532.6;1920.9;2783686.3;1208563.6;9.85426;47.002679
4569.8;1932.1;2783676.6;1208599.5;9.854147;47.003005
4627.2;1953.7;2783675.8;1208656.9;9.85416;47.003521
4691;1975.5;2783661.4;1208719;9.853995;47.004084
4720.5;1982.2;2783648.7;1208745.6;9.853839;47.004326
4739.8;1990.3;2783632.3;1208755.8;9.853628;47.004422
4760;1996.2;2783612.4;1208759.6;9.853368;47.004462
4803.4;2007.5;2783570.6;1208748.2;9.852814;47.004371
4836.6;2016.2;2783537.6;1208744.4;9.852379;47.004346
4861.5;2021.2;2783514;1208752.4;9.852072;47.004425
4895.1;2030.8;2783492.9;1208778.6;9.851805;47.004666
4937.8;2039.7;2783474.3;1208817;9.851576;47.005016
4976.2;2047.9;2783465.4;1208854.4;9.851474;47.005355
5014.7;2054;2783456.5;1208891.8;9.851372;47.005694
5054.1;2061.3;2783447.7;1208930.2;9.851272;47.006042
5097.2;2070.9;2783443.65;1208973.1;9.851236;47.006428
