route,dijkstra_optimal,avg_ratio,cv,best_ratio,worst_ratio,valid_runs,total_runs
Chuenihorn (short),10717.972400982388,1.063536894560626,0.010174450904897926,1.0446687885206432,1.079453395195993,10,10
Sulzfluh (long),18339.83971107308,1.2085709636999005,0.018745416372542293,1.1689468972412533,1.2463540923018022,10,10
ALL_ROUTES,,1.136053929130263,0.06571740806350138,1.0446687885206432,1.2463540923018022,20,20
